#wavel($\mu$m)	flux_intensity(km/kmol)
0.000000 0.000000
0.592903 0.000000
1.067225 0.000000
1.446683 0.000000
1.750249 0.000000
1.993102 0.000000
2.187384 0.000000
2.342810 0.000000
2.467151 0.000000
2.566623 0.000000
2.646201 0.000052
2.652201 0.000101
2.658201 0.000193
2.664201 0.000362
2.670201 0.000672
2.676201 0.001229
2.682201 0.002217
2.688201 0.003945
2.694201 0.006921
2.700201 0.011977
2.706201 0.020440
2.712201 0.034404
2.718201 0.057111
2.724201 0.093502
2.730201 0.150975
2.736201 0.240424
2.742201 0.377608
2.748201 0.584920
2.754201 0.893605
2.760201 1.346452
2.766201 2.000941
2.772201 2.932779
2.778201 4.239643
2.784201 6.044881
2.790201 8.500793
2.796201 11.790968
2.802201 16.131090
2.808201 21.767525
2.814201 28.972992
2.820201 38.038695
2.826201 49.262477
2.832201 62.932814
2.838201 79.308915
2.844201 98.597634
2.850201 120.928466
2.856201 146.328420
2.862201 174.698971
2.868201 205.797576
2.874201 239.226243
2.880201 274.429359
2.886201 310.702419
2.892201 347.212382
2.898201 383.029343
2.904201 417.168001
2.910201 448.636289
2.916201 476.487606
2.922201 499.872508
2.928201 518.085582
2.934513 531.092155
2.940513 537.282817
2.946513 537.370180
2.952513 531.489312
2.958513 519.976502
2.964513 503.341131
2.970513 482.229066
2.976513 457.381202
2.982513 429.590849
2.988513 399.663333
2.996551 357.580172
3.002551 325.612460
3.008551 293.878833
3.014551 262.917268
3.020551 233.171533
3.026551 204.992047
3.032551 178.640686
3.038551 154.298158
3.044551 132.072772
3.050551 112.009724
3.056551 94.100345
3.062551 78.290963
3.068551 64.491262
3.074551 52.582117
3.080551 42.422913
3.086551 33.858380
3.092551 26.724901
3.098551 20.856233
3.104551 16.088551
3.110551 12.264721
3.116551 9.237695
3.122551 6.873028
3.128551 5.050471
3.134551 3.664739
3.140551 2.625530
3.146551 1.856931
3.152551 1.296365
3.158551 0.893235
3.164551 0.607394
3.170551 0.407573
3.176551 0.269860
3.182551 0.176295
3.188551 0.113629
3.194551 0.072254
3.200551 0.045325
3.206551 0.028049
3.212551 0.017122
3.218551 0.010310
3.224551 0.006124
3.230551 0.003588
3.236551 0.002073
3.242551 0.001182
3.248551 0.000664
3.254551 0.000368
3.260551 0.000201
3.266551 0.000109
3.272551 0.000058
3.278551 0.000030
3.284551 0.000016
3.290551 0.000008
3.296551 0.000004
3.362551 0.000000
3.441751 0.000000
3.536791 0.000000
3.650839 0.000000
3.787697 0.000000
3.951926 0.000000
4.149001 0.000000
4.385491 0.000000
4.669279 0.000000
5.009824 0.000000
5.407442 0.000000
5.725536 0.000000
5.980011 0.000000
6.183592 0.000000
6.346456 0.000000
6.476747 0.000000
6.580980 0.000000
6.664367 0.000004
6.731076 0.003662
6.737076 0.006285
6.743076 0.010640
6.749076 0.017764
6.755076 0.029249
6.761076 0.047498
6.767076 0.076070
6.773076 0.120151
6.779076 0.187164
6.785076 0.287540
6.791076 0.435664
6.797076 0.651007
6.803076 0.959397
6.809076 1.394411
6.815076 1.998769
6.821076 2.825621
6.827076 3.939530
6.833076 5.416945
6.839076 7.345880
6.845076 9.824548
6.851076 12.958680
6.857076 16.857314
6.863076 21.626954
6.869076 27.364136
6.875076 34.146605
6.881076 42.023548
6.887076 51.005535
6.893076 61.055008
6.899076 72.078325
6.905076 83.920386
6.911076 96.362855
6.917076 109.126757
6.923076 121.879942
6.929076 134.249484
6.935076 145.838576
6.941076 156.246970
6.947076 165.093583
6.953076 172.039504
6.959076 176.809490
6.967913 179.487934
6.973913 178.248116
6.979913 174.579819
6.985913 168.632986
6.991913 160.646186
6.997913 150.930743
7.003913 139.850621
7.009913 127.799893
7.015913 115.179710
7.021913 102.376640
7.027913 89.743946
7.033913 77.586981
7.039913 66.153366
7.045913 55.628127
7.051913 46.133492
7.057913 37.732677
7.063913 30.436752
7.069913 24.213546
7.075913 18.997563
7.081913 14.699981
7.087913 11.217991
7.093913 8.442922
7.099913 6.266858
7.105913 4.587609
7.111913 3.312091
7.117913 2.358292
7.123913 1.656045
7.129913 1.146902
7.135913 0.783357
7.141913 0.527683
7.147913 0.350562
7.153913 0.229687
7.159913 0.148418
7.165913 0.094584
7.171913 0.059447
7.177913 0.036848
7.183913 0.022526
7.189913 0.013581
7.195913 0.008075
7.201913 0.004736
7.207913 0.002739
7.213913 0.001562
7.219913 0.000879
7.225913 0.000488
7.231913 0.000267
7.237913 0.000144
7.243913 0.000077
7.249913 0.000040
7.255913 0.000021
7.261913 0.000011
7.267913 0.000005
7.333913 0.000000
7.413113 0.000000
7.508153 0.000000
7.622201 0.000000
7.759058 0.000000
7.923288 0.000000
8.120362 0.000000
8.356852 0.000000
8.640640 0.000000
8.981186 0.000000
9.389840 0.000000
9.880226 0.000000
10.468689 0.000000
11.174844 0.000000
12.022230 0.000000
13.039093 0.000000
14.259330 0.000000
15.723613 0.000000
17.480753 0.000000
19.589321 0.000000
22.119603 0.000000
25.155941 0.000000
28.799546 0.000000
33.171873 0.000000

