wavel($\mu$m),intensity(km/kmol)
0,0
0.516864,0
0.930354,0
1.261147,0
1.525781,0
1.737488,0
1.906854,0
2.042347,0
2.150741,0
2.237456,0
2.306829,0.000167
2.312829,0.000294
2.318829,0.00051
2.324829,0.000873
2.330829,0.001473
2.336829,0.002452
2.342829,0.004024
2.348829,0.006515
2.354829,0.010401
2.360829,0.016378
2.366829,0.025433
2.372829,0.038952
2.378829,0.058836
2.384829,0.087647
2.390829,0.128768
2.396829,0.186579
2.402829,0.266625
2.408829,0.37577
2.414829,0.522308
2.420829,0.716004
2.426829,0.968034
2.432829,1.29078
2.438829,1.697472
2.444829,2.201625
2.450829,2.816284
2.456829,3.553077
2.462829,4.421106
2.468829,5.425743
2.474829,6.567407
2.480829,7.840439
2.486829,9.232196
2.492829,10.722489
2.498829,12.283476
2.504829,13.880117
2.510829,15.47121
2.516829,17.011026
2.522829,18.451456
2.528829,19.744542
2.534829,20.84522
2.540829,21.714044
2.546829,22.319655
2.554318,22.675017
2.560318,22.628667
2.566318,22.292558
2.572318,21.683359
2.578318,20.828019
2.584318,19.761853
2.590318,18.526153
2.596318,17.165558
2.602318,15.725402
2.608318,14.249265
2.614318,12.776897
2.620318,11.342652
2.626318,9.97449
2.633131,8.527446
2.639131,7.362655
2.645131,6.308325
2.651131,5.366566
2.657131,4.535225
2.663131,3.808959
2.669131,3.180253
2.675131,2.640319
2.681131,2.179846
2.687131,1.789556
2.693131,1.460608
2.699131,1.184833
2.705131,0.954855
2.711131,0.764122
2.717131,0.606872
2.723131,0.478071
2.729131,0.373335
2.735131,0.288847
2.741131,0.221292
2.747131,0.167792
2.753131,0.12586
2.759131,0.093352
2.765131,0.068443
2.771131,0.049585
2.777131,0.035487
2.783131,0.025082
2.789131,0.017505
2.795131,0.012061
2.801131,0.008202
2.807131,0.005505
2.813131,0.003646
2.819131,0.002383
2.825131,0.001537
2.831131,0.000977
2.837131,0.000613
2.843131,0.00038
2.849131,0.000232
2.855131,0.00014
2.861131,0.000083
2.867131,0.000049
2.873131,0.000028
2.879131,0.000016
2.885131,0.000009
2.891131,0.000005
2.897131,0.000003
2.903131,0.000001
2.909131,0.000001
2.915131,0
2.921131,0
2.927131,0
2.933131,0
2.999131,0
3.078331,0
3.173371,0
3.287419,0
3.424277,0
3.588506,0
3.785581,0
4.022071,0
4.305859,0
4.646404,0
4.930466,0
5.157716,0
5.339516,0
5.484956,0
5.601308,0
5.694389,0
5.768854,0.000071
5.774854,0.000132
5.780854,0.00024
5.786854,0.00043
5.792854,0.00076
5.798854,0.001326
5.804854,0.002281
5.810854,0.003871
5.816854,0.006478
5.822854,0.010692
5.828854,0.017404
5.834854,0.027939
5.840854,0.044233
5.846854,0.069067
5.852854,0.106359
5.858854,0.161531
5.864854,0.241945
5.870854,0.357402
5.876854,0.520687
5.882854,0.748128
5.888854,1.06012
5.894854,1.481539
5.900854,2.041976
5.906854,2.775668
5.912854,3.721037
5.918854,4.919713
5.924854,6.414975
5.930854,8.249536
5.936854,10.462694
5.942854,13.086903
5.948854,16.143945
5.954854,19.640921
5.960854,23.56641
5.966854,27.887169
5.972854,32.545789
5.978854,37.459725
5.984854,42.522009
5.990854,47.60388
5.996854,52.559393
6.002854,57.231842
6.008854,61.461691
6.014854,65.095459
6.020854,67.99489
6.026854,70.045665
6.036715,71.369405
6.042715,70.876419
6.048715,69.417802
6.054715,67.053175
6.060715,63.877401
6.066715,60.01427
6.072715,55.608505
6.078715,50.816799
6.084715,45.798663
6.090715,40.707805
6.096715,35.684694
6.102715,30.850746
6.108715,26.304422
6.114715,22.119294
6.120715,18.343962
6.126715,15.003564
6.132715,12.102501
6.138715,9.627981
6.144715,7.55396
6.150715,5.845122
6.156715,4.460586
6.162715,3.357141
6.168715,2.491877
6.174715,1.824161
6.180715,1.31698
6.186715,0.937723
6.192715,0.65849
6.198715,0.45604
6.204715,0.311485
6.210715,0.209821
6.216715,0.139393
6.222715,0.09133
6.228715,0.059015
6.234715,0.037609
6.240715,0.023638
6.246715,0.014652
6.252715,0.008957
6.258715,0.0054
6.264715,0.003211
6.270715,0.001883
6.276715,0.001089
6.282715,0.000621
6.288715,0.000349
6.294715,0.000194
6.300715,0.000106
6.306715,0.000057
6.312715,0.00003
6.318715,0.000016
6.324715,0.000008
6.330715,0.000004
6.336715,0.000002
6.402715,0
6.481915,0
6.576955,0
6.691003,0
6.827861,0
6.99209,0
7.189165,0
7.425655,0
7.709443,0
8.049988,0
8.458643,0
8.949029,0
9.537491,0
10.243646,0
11.091033,0
12.107896,0
13.328132,0
14.792416,0
16.549556,0
18.658124,0
21.188405,0
24.224743,0
27.868349,0
32.240676,0
